1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63 
0.286, 0.0, 0.0, 0.143, 0.0, 0.286, 0.0, 0.0, 0.286, 0.0, 0.0, 0.143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.143, 0.0, 0.143, 0.0, 0.286, 0.143, 0.0, 0.143, 0.0, 0.0, 0.0, 0.143, 0.286, 0.143, 0.0, 0.143, 0.143, 0.0, 0.143, 0.143, 0.143, 0.0, 0.0, 0.0, 0.0, 0.143, 0.0, 0.0, 0.0, 0.143, 0.0, 0.286, 0.0, 0.0, 0.0, 0.0, 0.286, 0.0, 0.143, 0.0, 0.143, 0.0, 0.0, 0.286, 0.0 
0.3, 0.3, 0.5, 0.2, 0.3, 0.2, 0.3, 0.3, 0.3, 0.3, 0.4, 0.3, 0.1, 0.1, 0.2, 0.1, 0.3, 0.2, 0.1, 0.2, 0.3, 0.4, 0.3, 0.2, 0.3, 0.3, 0.1, 0.5, 0.2, 0.4, 0.2, 0.3, 0.3, 0.4, 0.1, 0.6, 0.2, 0.5, 0.2, 0.4, 0.6, 0.3, 0.4, 0.3, 0.3, 0.2, 0.3, 0.2, 0.2, 0.1, 0.1, 0.5, 0.5, 0.1, 0.4, 0.1, 0.2, 0.1, 0.5, 0.4, 0.1, 0.2, 0.3 
0.167, 0.25, 0.167, 0.333, 0.333, 0.167, 0.167, 0.417, 0.333, 0.083, 0.167, 0.083, 0.167, 0.417, 0.25, 0.333, 0.25, 0.083, 0.0, 0.25, 0.0, 0.25, 0.25, 0.25, 0.167, 0.083, 0.167, 0.417, 0.167, 0.417, 0.25, 0.333, 0.333, 0.167, 0.25, 0.417, 0.0, 0.417, 0.25, 0.25, 0.167, 0.417, 0.25, 0.167, 0.0, 0.25, 0.083, 0.333, 0.0, 0.167, 0.083, 0.333, 0.167, 0.333, 0.083, 0.417, 0.25, 0.083, 0.333, 0.25, 0.0, 0.417, 0.083 
0.5, 0.417, 0.667, 0.333, 0.417, 0.333, 0.25, 0.25, 0.167, 0.25, 0.25, 0.25, 0.167, 0.25, 0.167, 0.25, 0.25, 0.083, 0.417, 0.417, 0.583, 0.417, 0.5, 0.417, 0.583, 0.333, 0.333, 0.417, 0.333, 0.417, 0.167, 0.417, 0.333, 0.333, 0.333, 0.167, 0.333, 0.167, 0.167, 0.417, 0.417, 0.25, 0.25, 0.167, 0.25, 0.417, 0.417, 0.25, 0.333, 0.5, 0.25, 0.5, 0.25, 0.417, 0.167, 0.167, 0.167, 0.417, 0.333, 0.25, 0.417, 0.417, 0.333 
0.0, 0.0, 0.091, 0.182, 0.0, 0.273, 0.091, 0.273, 0.182, 0.273, 0.182, 0.273, 0.364, 0.273, 0.182, 0.091, 0.0, 0.182, 0.0, 0.182, 0.091, 0.182, 0.182, 0.091, 0.091, 0.182, 0.091, 0.091, 0.273, 0.182, 0.364, 0.545, 0.273, 0.0, 0.182, 0.364, 0.273, 0.273, 0.182, 0.0, 0.091, 0.182, 0.273, 0.273, 0.182, 0.273, 0.091, 0.182, 0.182, 0.273, 0.182, 0.182, 0.182, 0.091, 0.364, 0.091, 0.273, 0.455, 0.182, 0.0, 0.182, 0.091, 0.182 
0.231, 0.0, 0.077, 0.154, 0.154, 0.154, 0.231, 0.154, 0.231, 0.077, 0.231, 0.077, 0.154, 0.154, 0.231, 0.077, 0.308, 0.077, 0.077, 0.308, 0.231, 0.077, 0.231, 0.154, 0.077, 0.231, 0.077, 0.308, 0.077, 0.385, 0.308, 0.231, 0.077, 0.154, 0.231, 0.231, 0.0, 0.231, 0.077, 0.154, 0.154, 0.308, 0.0, 0.154, 0.154, 0.385, 0.154, 0.308, 0.154, 0.154, 0.077, 0.154, 0.231, 0.077, 0.154, 0.077, 0.154, 0.077, 0.154, 0.308, 0.231, 0.231, 0.231 
0.231, 0.077, 0.154, 0.077, 0.077, 0.154, 0.077, 0.077, 0.231, 0.231, 0.231, 0.077, 0.154, 0.231, 0.231, 0.231, 0.154, 0.0, 0.308, 0.077, 0.231, 0.385, 0.308, 0.154, 0.154, 0.308, 0.231, 0.308, 0.308, 0.308, 0.385, 0.154, 0.231, 0.154, 0.154, 0.231, 0.231, 0.231, 0.0, 0.154, 0.231, 0.308, 0.308, 0.154, 0.231, 0.154, 0.308, 0.308, 0.231, 0.231, 0.231, 0.231, 0.231, 0.154, 0.308, 0.231, 0.231, 0.154, 0.231, 0.231, 0.077, 0.231, 0.308 
0.308, 0.308, 0.154, 0.308, 0.462, 0.231, 0.308, 0.385, 0.231, 0.308, 0.154, 0.308, 0.462, 0.308, 0.077, 0.308, 0.154, 0.538, 0.308, 0.462, 0.462, 0.308, 0.308, 0.308, 0.308, 0.154, 0.385, 0.231, 0.308, 0.154, 0.308, 0.385, 0.462, 0.308, 0.462, 0.154, 0.154, 0.231, 0.077, 0.385, 0.385, 0.154, 0.231, 0.308, 0.385, 0.308, 0.308, 0.615, 0.231, 0.308, 0.154, 0.462, 0.231, 0.462, 0.077, 0.308, 0.385, 0.231, 0.462, 0.154, 0.231, 0.385, 0.231 
0.154, 0.231, 0.308, 0.077, 0.231, 0.231, 0.308, 0.231, 0.385, 0.154, 0.385, 0.231, 0.154, 0.462, 0.308, 0.231, 0.462, 0.308, 0.231, 0.154, 0.154, 0.231, 0.077, 0.231, 0.385, 0.154, 0.231, 0.231, 0.154, 0.231, 0.308, 0.154, 0.308, 0.308, 0.231, 0.154, 0.385, 0.154, 0.308, 0.231, 0.154, 0.308, 0.231, 0.231, 0.308, 0.308, 0.308, 0.154, 0.231, 0.385, 0.154, 0.231, 0.154, 0.231, 0.077, 0.231, 0.154, 0.385, 0.308, 0.308, 0.308, 0.231, 0.308 
0.154, 0.231, 0.231, 0.077, 0.0, 0.154, 0.0, 0.308, 0.077, 0.154, 0.308, 0.154, 0.154, 0.231, 0.154, 0.308, 0.231, 0.154, 0.154, 0.154, 0.154, 0.231, 0.154, 0.077, 0.308, 0.077, 0.154, 0.077, 0.154, 0.231, 0.077, 0.154, 0.231, 0.308, 0.077, 0.077, 0.231, 0.154, 0.308, 0.154, 0.154, 0.231, 0.385, 0.077, 0.308, 0.077, 0.231, 0.231, 0.0, 0.077, 0.0, 0.154, 0.154, 0.154, 0.231, 0.385, 0.154, 0.154, 0.154, 0.077, 0.077, 0.077, 0.077 
0.25, 0.333, 0.083, 0.333, 0.167, 0.167, 0.5, 0.083, 0.083, 0.083, 0.0, 0.25, 0.25, 0.25, 0.083, 0.25, 0.25, 0.167, 0.0, 0.25, 0.167, 0.25, 0.167, 0.25, 0.167, 0.333, 0.083, 0.167, 0.0, 0.167, 0.167, 0.25, 0.25, 0.333, 0.333, 0.167, 0.083, 0.167, 0.083, 0.167, 0.25, 0.167, 0.167, 0.167, 0.25, 0.167, 0.25, 0.25, 0.167, 0.25, 0.167, 0.25, 0.167, 0.25, 0.083, 0.25, 0.167, 0.167, 0.25, 0.167, 0.0, 0.417, 0.167 
0.308, 0.0, 0.154, 0.154, 0.231, 0.231, 0.154, 0.231, 0.077, 0.231, 0.308, 0.231, 0.231, 0.231, 0.077, 0.231, 0.231, 0.308, 0.077, 0.077, 0.154, 0.154, 0.154, 0.154, 0.154, 0.077, 0.154, 0.308, 0.154, 0.154, 0.154, 0.231, 0.231, 0.154, 0.154, 0.154, 0.385, 0.154, 0.231, 0.0, 0.308, 0.077, 0.154, 0.231, 0.462, 0.308, 0.308, 0.231, 0.308, 0.231, 0.154, 0.231, 0.308, 0.077, 0.231, 0.308, 0.308, 0.231, 0.154, 0.154, 0.077, 0.231, 0.385 
0.154, 0.077, 0.154, 0.154, 0.154, 0.154, 0.154, 0.231, 0.077, 0.077, 0.308, 0.077, 0.154, 0.231, 0.154, 0.154, 0.308, 0.154, 0.154, 0.077, 0.154, 0.077, 0.077, 0.0, 0.0, 0.231, 0.077, 0.077, 0.154, 0.077, 0.231, 0.077, 0.077, 0.154, 0.231, 0.077, 0.154, 0.077, 0.0, 0.077, 0.077, 0.385, 0.231, 0.154, 0.231, 0.231, 0.154, 0.154, 0.077, 0.154, 0.154, 0.154, 0.077, 0.154, 0.231, 0.077, 0.154, 0.077, 0.154, 0.077, 0.154, 0.231, 0.154 
0.077, 0.154, 0.231, 0.154, 0.077, 0.077, 0.385, 0.308, 0.231, 0.231, 0.154, 0.077, 0.077, 0.308, 0.154, 0.154, 0.0, 0.0, 0.077, 0.077, 0.077, 0.154, 0.154, 0.154, 0.308, 0.077, 0.231, 0.308, 0.538, 0.154, 0.538, 0.154, 0.231, 0.154, 0.308, 0.308, 0.308, 0.308, 0.385, 0.154, 0.154, 0.231, 0.385, 0.077, 0.0, 0.0, 0.231, 0.077, 0.231, 0.077, 0.462, 0.0, 0.308, 0.077, 0.385, 0.308, 0.154, 0.308, 0.231, 0.385, 0.0, 0.385, 0.308 
0.385, 0.231, 0.077, 0.231, 0.538, 0.231, 0.154, 0.231, 0.231, 0.231, 0.462, 0.308, 0.231, 0.077, 0.462, 0.231, 0.308, 0.385, 0.154, 0.385, 0.231, 0.308, 0.154, 0.154, 0.077, 0.154, 0.385, 0.231, 0.231, 0.231, 0.385, 0.077, 0.385, 0.231, 0.308, 0.231, 0.385, 0.385, 0.385, 0.538, 0.231, 0.308, 0.154, 0.231, 0.385, 0.308, 0.538, 0.154, 0.462, 0.385, 0.231, 0.308, 0.231, 0.308, 0.308, 0.231, 0.154, 0.231, 0.231, 0.308, 0.154, 0.385, 0.231 
0.25, 0.417, 0.25, 0.167, 0.25, 0.417, 0.167, 0.417, 0.333, 0.167, 0.25, 0.333, 0.333, 0.333, 0.333, 0.167, 0.25, 0.333, 0.25, 0.333, 0.25, 0.583, 0.25, 0.417, 0.25, 0.167, 0.333, 0.25, 0.5, 0.25, 0.167, 0.333, 0.167, 0.167, 0.25, 0.083, 0.333, 0.083, 0.333, 0.167, 0.333, 0.417, 0.417, 0.167, 0.417, 0.0, 0.417, 0.25, 0.333, 0.083, 0.25, 0.333, 0.25, 0.25, 0.333, 0.417, 0.333, 0.167, 0.167, 0.333, 0.167, 0.25, 0.25 
0.333, 0.25, 0.25, 0.25, 0.25, 0.167, 0.25, 0.167, 0.167, 0.083, 0.333, 0.417, 0.25, 0.417, 0.417, 0.417, 0.5, 0.333, 0.167, 0.25, 0.083, 0.167, 0.083, 0.333, 0.0, 0.25, 0.0, 0.333, 0.0, 0.083, 0.083, 0.25, 0.167, 0.167, 0.167, 0.333, 0.333, 0.25, 0.417, 0.25, 0.167, 0.25, 0.25, 0.333, 0.417, 0.25, 0.5, 0.167, 0.333, 0.25, 0.083, 0.167, 0.417, 0.083, 0.167, 0.083, 0.5, 0.25, 0.25, 0.417, 0.333, 0.5, 0.333 
0.231, 0.077, 0.231, 0.077, 0.231, 0.231, 0.231, 0.385, 0.154, 0.308, 0.154, 0.154, 0.308, 0.231, 0.385, 0.231, 0.462, 0.308, 0.077, 0.154, 0.154, 0.231, 0.154, 0.385, 0.154, 0.231, 0.154, 0.308, 0.077, 0.231, 0.0, 0.231, 0.077, 0.077, 0.077, 0.077, 0.154, 0.231, 0.154, 0.077, 0.077, 0.077, 0.0, 0.0, 0.308, 0.231, 0.231, 0.231, 0.154, 0.385, 0.154, 0.154, 0.0, 0.154, 0.077, 0.231, 0.154, 0.231, 0.154, 0.077, 0.077, 0.077, 0.154 
0.308, 0.308, 0.308, 0.154, 0.308, 0.077, 0.0, 0.308, 0.0, 0.308, 0.462, 0.154, 0.077, 0.154, 0.0, 0.154, 0.231, 0.154, 0.077, 0.077, 0.154, 0.154, 0.462, 0.154, 0.231, 0.154, 0.0, 0.077, 0.0, 0.0, 0.077, 0.231, 0.0, 0.462, 0.231, 0.077, 0.077, 0.308, 0.0, 0.0, 0.0, 0.077, 0.0, 0.231, 0.154, 0.077, 0.077, 0.231, 0.154, 0.385, 0.154, 0.231, 0.077, 0.154, 0.077, 0.077, 0.154, 0.154, 0.308, 0.385, 0.231, 0.385, 0.077 
0.0, 0.25, 0.083, 0.083, 0.0, 0.25, 0.083, 0.25, 0.0, 0.083, 0.083, 0.167, 0.083, 0.417, 0.083, 0.25, 0.167, 0.0, 0.25, 0.167, 0.0, 0.25, 0.083, 0.25, 0.0, 0.167, 0.25, 0.25, 0.167, 0.083, 0.083, 0.083, 0.25, 0.0, 0.167, 0.25, 0.0, 0.25, 0.0, 0.0, 0.167, 0.167, 0.083, 0.167, 0.333, 0.167, 0.083, 0.167, 0.083, 0.333, 0.167, 0.083, 0.167, 0.083, 0.25, 0.0, 0.083, 0.083, 0.083, 0.083, 0.25, 0.083, 0.0 
0.182, 0.182, 0.182, 0.273, 0.182, 0.273, 0.273, 0.091, 0.182, 0.182, 0.091, 0.273, 0.273, 0.182, 0.182, 0.364, 0.273, 0.364, 0.182, 0.273, 0.182, 0.273, 0.273, 0.091, 0.273, 0.273, 0.273, 0.182, 0.455, 0.182, 0.364, 0.273, 0.182, 0.091, 0.182, 0.273, 0.273, 0.364, 0.182, 0.273, 0.0, 0.273, 0.273, 0.273, 0.182, 0.091, 0.182, 0.091, 0.273, 0.091, 0.091, 0.0, 0.091, 0.091, 0.182, 0.091, 0.091, 0.273, 0.364, 0.273, 0.273, 0.364, 0.364 
0.333, 0.333, 0.417, 0.25, 0.333, 0.25, 0.083, 0.25, 0.167, 0.417, 0.25, 0.333, 0.167, 0.417, 0.25, 0.333, 0.167, 0.167, 0.25, 0.333, 0.167, 0.333, 0.333, 0.25, 0.25, 0.167, 0.417, 0.333, 0.167, 0.333, 0.25, 0.417, 0.25, 0.333, 0.333, 0.417, 0.333, 0.25, 0.333, 0.333, 0.167, 0.167, 0.167, 0.25, 0.25, 0.25, 0.167, 0.167, 0.25, 0.083, 0.333, 0.083, 0.167, 0.167, 0.417, 0.167, 0.333, 0.417, 0.333, 0.167, 0.167, 0.167, 0.333 
0.154, 0.154, 0.154, 0.308, 0.231, 0.538, 0.231, 0.308, 0.077, 0.385, 0.231, 0.308, 0.385, 0.154, 0.231, 0.231, 0.231, 0.308, 0.462, 0.385, 0.462, 0.154, 0.308, 0.231, 0.231, 0.154, 0.308, 0.308, 0.154, 0.154, 0.385, 0.154, 0.077, 0.385, 0.308, 0.231, 0.308, 0.154, 0.231, 0.308, 0.308, 0.154, 0.231, 0.308, 0.385, 0.154, 0.462, 0.154, 0.231, 0.231, 0.154, 0.385, 0.308, 0.308, 0.231, 0.231, 0.385, 0.385, 0.308, 0.308, 0.308, 0.231, 0.385 
0.154, 0.077, 0.231, 0.231, 0.308, 0.077, 0.077, 0.0, 0.077, 0.154, 0.077, 0.077, 0.077, 0.077, 0.308, 0.308, 0.308, 0.231, 0.154, 0.154, 0.077, 0.077, 0.231, 0.308, 0.154, 0.077, 0.154, 0.077, 0.385, 0.308, 0.231, 0.154, 0.077, 0.154, 0.154, 0.077, 0.231, 0.154, 0.077, 0.077, 0.308, 0.154, 0.231, 0.077, 0.231, 0.154, 0.231, 0.385, 0.231, 0.385, 0.231, 0.154, 0.231, 0.385, 0.231, 0.231, 0.231, 0.077, 0.077, 0.077, 0.231, 0.308, 0.154 
0.091, 0.364, 0.273, 0.273, 0.364, 0.455, 0.364, 0.273, 0.182, 0.091, 0.091, 0.182, 0.273, 0.182, 0.455, 0.182, 0.182, 0.273, 0.182, 0.364, 0.364, 0.091, 0.455, 0.091, 0.273, 0.182, 0.182, 0.273, 0.182, 0.182, 0.364, 0.0, 0.273, 0.091, 0.364, 0.364, 0.364, 0.182, 0.364, 0.273, 0.273, 0.182, 0.182, 0.273, 0.182, 0.091, 0.091, 0.364, 0.273, 0.455, 0.091, 0.364, 0.273, 0.273, 0.273, 0.273, 0.182, 0.545, 0.273, 0.182, 0.364, 0.455, 0.182 
0.077, 0.154, 0.231, 0.231, 0.0, 0.385, 0.308, 0.154, 0.308, 0.308, 0.308, 0.231, 0.077, 0.308, 0.154, 0.231, 0.308, 0.077, 0.0, 0.077, 0.0, 0.231, 0.0, 0.385, 0.077, 0.0, 0.231, 0.385, 0.077, 0.385, 0.077, 0.308, 0.154, 0.154, 0.154, 0.077, 0.308, 0.154, 0.154, 0.0, 0.0, 0.077, 0.154, 0.077, 0.077, 0.231, 0.308, 0.154, 0.154, 0.231, 0.0, 0.0, 0.231, 0.154, 0.154, 0.0, 0.0, 0.231, 0.077, 0.077, 0.385, 0.231, 0.231 
0.083, 0.167, 0.083, 0.25, 0.167, 0.417, 0.25, 0.25, 0.167, 0.25, 0.25, 0.25, 0.417, 0.25, 0.333, 0.333, 0.333, 0.333, 0.25, 0.417, 0.167, 0.25, 0.25, 0.167, 0.167, 0.167, 0.333, 0.333, 0.25, 0.333, 0.167, 0.417, 0.083, 0.25, 0.333, 0.083, 0.167, 0.25, 0.333, 0.25, 0.25, 0.333, 0.25, 0.25, 0.25, 0.25, 0.167, 0.25, 0.083, 0.167, 0.167, 0.083, 0.167, 0.333, 0.25, 0.333, 0.25, 0.417, 0.167, 0.083, 0.333, 0.25, 0.25 
0.2, 0.2, 0.3, 0.3, 0.2, 0.4, 0.4, 0.1, 0.4, 0.3, 0.3, 0.4, 0.6, 0.3, 0.4, 0.2, 0.2, 0.4, 0.1, 0.2, 0.1, 0.2, 0.1, 0.4, 0.4, 0.4, 0.1, 0.0, 0.1, 0.1, 0.2, 0.2, 0.1, 0.2, 0.3, 0.3, 0.4, 0.3, 0.4, 0.0, 0.3, 0.2, 0.2, 0.2, 0.3, 0.2, 0.4, 0.2, 0.1, 0.3, 0.1, 0.3, 0.2, 0.2, 0.2, 0.4, 0.3, 0.4, 0.5, 0.2, 0.2, 0.2, 0.2 
0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.5, 0.0, 0.0, 0.5, 0.0, 0.5, 0.5 
0.333, 0.333, 0.0, 0.0, 0.333, 0.167, 0.167, 0.0, 0.167, 0.167, 0.333, 0.167, 0.333, 0.167, 0.167, 0.333, 0.333, 0.0, 0.0, 0.333, 0.333, 0.667, 0.333, 0.333, 0.167, 0.5, 0.167, 0.167, 0.0, 0.5, 0.167, 0.333, 0.167, 0.167, 0.333, 0.167, 0.0, 0.167, 0.0, 0.167, 0.5, 0.167, 0.833, 0.0, 0.0, 0.0, 0.0, 0.167, 0.167, 0.167, 0.167, 0.167, 0.167, 0.167, 0.167, 0.167, 0.167, 0.0, 0.333, 0.333, 0.5, 0.333, 0.333 
0.0, 0.2, 0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.4, 0.0, 0.4, 0.2, 0.0, 0.4, 0.0, 0.2, 0.2, 0.2, 0.0, 0.4, 0.2, 0.0, 0.0, 0.4, 0.0, 0.2, 0.0, 0.0, 0.2, 0.4, 0.0, 0.0, 0.0, 0.0, 0.2, 0.2, 0.0, 0.2, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4, 0.2, 0.0, 0.2, 0.2, 0.0, 0.2 
0.4, 0.0, 0.3, 0.2, 0.0, 0.2, 0.3, 0.4, 0.3, 0.3, 0.2, 0.4, 0.4, 0.5, 0.3, 0.1, 0.2, 0.4, 0.4, 0.0, 0.4, 0.0, 0.4, 0.0, 0.3, 0.0, 0.4, 0.3, 0.4, 0.3, 0.2, 0.1, 0.4, 0.2, 0.4, 0.2, 0.2, 0.1, 0.3, 0.3, 0.2, 0.5, 0.5, 0.2, 0.2, 0.0, 0.2, 0.1, 0.3, 0.2, 0.4, 0.2, 0.2, 0.3, 0.3, 0.5, 0.5, 0.1, 0.2, 0.3, 0.1, 0.4, 0.1 
0.231, 0.231, 0.385, 0.231, 0.462, 0.0, 0.462, 0.154, 0.462, 0.385, 0.077, 0.231, 0.077, 0.154, 0.231, 0.231, 0.385, 0.077, 0.077, 0.385, 0.308, 0.154, 0.462, 0.231, 0.615, 0.231, 0.0, 0.231, 0.154, 0.308, 0.462, 0.077, 0.0, 0.154, 0.154, 0.231, 0.231, 0.154, 0.308, 0.308, 0.385, 0.308, 0.462, 0.0, 0.077, 0.308, 0.077, 0.077, 0.154, 0.154, 0.154, 0.385, 0.231, 0.077, 0.308, 0.385, 0.154, 0.308, 0.231, 0.231, 0.385, 0.154, 0.462 
